timestamp,escuela,grado,curso,edad,genero,lugar_computadora,uso_computadora,aprender_computadora,dueño_celular,uso_celular,¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?",¿Conocés o alguna vez usaste Wikipedia?,"Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
11/17/2022 8:35:00,Escuela Nueva Juan Mantovani,Quinto,B,10,Masculino,En la escuela,"Juego juegos, Hago la tarea","Me enseñaron en mi casa",El mío,"Hablo con amigos, Juego juegos",En una computadora,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una nube,"Podemos utilizar la nube sin conexión a Internet, Instagram y TikTok usan la nube para compartir sus videos",Con Internet podemos hacer más cosas que con la nube.,No,
11/17/2022 8:36:12,Escuela Nueva Juan Mantovani,Quinto,B,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa",El mío,"Hablo con amigos, Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en la Galería de fotos de mi celular.,El mensaje se manda a través de una red de antenas y computadoras.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una red de antenas y satélites,La nube me permite guardar las fotos y videos del celular,Con la nube podemos hacer más cosas que con Internet.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/17/2022 8:36:21,Escuela Nueva Juan Mantovani,Quinto,B,11,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,"Hablo con amigos, Uso redes sociales, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una red de antenas y satélites,La nube me permite guardar las fotos y videos del celular,Con Internet podemos hacer más cosas que con la nube.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/17/2022 8:36:30,Escuela Nueva Juan Mantovani,Quinto,B,10,Masculino,En mi casa,"Juego juegos, Hablo con amigos","Me enseñaron en mi casa",El mío,"Hablo con amigos, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una red de antenas y satélites,La nube me permite guardar las fotos y videos del celular,Con la nube podemos hacer más cosas que con Internet.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/17/2022 8:36:39,Escuela Nueva Juan Mantovani,Quinto,B,11,Femenino,En mi casa,"Hablo con amigos","Me enseñaron en mi casa, Aprendí solo",El mío,"Uso redes sociales, Hablo por teléfono",En mi celular,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,No sé,El mensaje se manda directamente.,No sé.,No sé,,,No,
11/17/2022 8:36:40,Escuela Nueva Juan Mantovani,Quinto,B,10,Otro,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos","Me enseñaron en mi casa, Me enseñaron en la escuela",El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una red de antenas y satélites,"Se puede usar la nube para jugar juegos sin instalarlos, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Sin la nube sería imposible sacar fotos con el celular",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/17/2022 8:36:53,Escuela Nueva Juan Mantovani,Quinto,B,10,Masculino,En la escuela,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Uso redes sociales, Miro videos en YouTube, Juego juegos",En muchas computadoras (tantas que podrían llenar una casa),Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una nube,"Google Maps descarga sus mapas de la nube, Sin la nube sería imposible sacar fotos con el celular",No sé.,No,
11/17/2022 8:37:05,Escuela Nueva Juan Mantovani,Quinto,B,11,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Miro videos en YouTube, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Una red de antenas y satélites,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, Instagram y TikTok usan la nube para compartir sus videos",Con Internet podemos hacer más cosas que con la nube.,No,
11/17/2022 8:37:09,Escuela Nueva Juan Mantovani,Quinto,B,11,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos","Me enseñaron en mi casa, Me enseñaron en la escuela",Me prestan uno,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,No sé,,,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/17/2022 8:37:24,Escuela Nueva Juan Mantovani,Quinto,B,11,Femenino,En la escuela,"Escucho música, Hago la tarea","Me enseñaron en mi casa",El mío,"Hablo con amigos, Uso redes sociales",No sé,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,No sé,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una red de antenas y satélites,Podemos utilizar la nube sin conexión a Internet,Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
